Time[s], Channel 0
-0.1,1
0,0
0.00028158,1
0.00110071,0
0.00141215,1
0.00303762,0
0.00331922,1
0.0040018,0
0.00428769,1
0.00704368,0
0.00732956,1
0.00856255,0
0.00884841,1
0.01008569,0
0.01036732,1
0.01146379,0
0.01174537,1
0.01436487,0
0.01462515,1
0.02757263,0
0.02785432,1
0.02867337,0
0.02898482,1
0.02977837,0
0.03006002,1
0.03074257,0
0.03102839,1
0.03170665,0
0.03199253,1
0.0326751,0
0.0329823,1
0.03557611,0
0.03583634,1
0.03654445,0
0.03682606,1
0.03750859,0
0.03781585,1
