Time[s], Channel 0
-0.100000000000000, 1
0.000000000000000, 0
0.000311460000000, 1
0.001100750000000, 0
0.001412190000000, 1
0.003037720000000, 0
0.003344880000000, 1
0.004001880000000, 0
0.004313300000000, 1
0.007043810000000, 0
0.007355220000000, 1
0.008562590000000, 0
0.008874030000000, 1
0.010085730000000, 0
0.010392920000000, 1
0.011463710000000, 0
0.011775180000000, 1
0.014369130000000, 0
0.014676370000000, 1
0.027574250000000, 0
0.027881460000000, 1
0.028675050000000, 0
0.028986480000000, 1
0.031439740000000, 0
0.031751220000000, 1
0.032408220000000, 0
0.032715420000000, 1
0.033372360000000, 0
0.033683760000000, 1
0.034336440000000, 0
0.034647900000000, 1
0.035577860000000, 0
0.035889270000000, 1
0.036546270000000, 0
0.036853440000000, 1
0.037506090000000, 0
0.037817540000000, 1
0.119620700000000, 0
0.119927870000000, 1
0.120721370000000, 0
0.121007230000000, 1
0.122658190000000, 0
0.122965360000000, 1
0.123622290000000, 0
0.123908190000000, 1
0.126664010000000, 0
0.126949920000000, 1
0.128187030000000, 0
0.128494290000000, 1
0.129705940000000, 0
0.130013110000000, 1
0.131083850000000, 0
0.131369680000000, 1
0.133989000000000, 0
0.134296160000000, 1
0.147192970000000, 0
0.147478830000000, 1
0.148297930000000, 0
0.148605150000000, 1
0.149953330000000, 0
0.150234890000000, 1
0.152026760000000, 0
0.152312600000000, 1
0.152990930000000, 0
0.153276810000000, 1
0.153959470000000, 0
0.154266690000000, 1
0.155201060000000, 0
0.155508210000000, 1
0.156165250000000, 0
0.156472420000000, 1
0.157129430000000, 0
0.157436610000000, 1
0.239238530000000, 0
0.239545720000000, 1
0.240339170000000, 0
0.240624940000000, 1
0.242275830000000, 0
0.242557340000000, 1
0.243239920000000, 0
0.243525750000000, 1
0.246285900000000, 0
0.246593090000000, 1
0.247804790000000, 0
0.248111960000000, 1
0.249323590000000, 0
0.249630780000000, 1
0.250701610000000, 0
0.250987460000000, 1
0.253606840000000, 0
0.253914010000000, 1
0.266810730000000, 0
0.267096560000000, 1
0.267915590000000, 0
0.268222790000000, 1
0.269570850000000, 0
0.269856760000000, 1
0.271644120000000, 0
0.271929940000000, 1
0.272608320000000, 0
0.272919770000000, 1
0.273576800000000, 0
0.273883970000000, 1
0.274818160000000, 0
0.275125330000000, 1
0.275782310000000, 0
0.276063860000000, 1
0.276746510000000, 0
0.277053670000000, 1
0.358854910000000, 0
0.359140760000000, 1
0.359959850000000, 0
0.360267060000000, 1
0.361892490000000, 0
0.362178360000000, 1
0.362856710000000, 0
0.363168180000000, 1
0.365902860000000, 0
0.366210070000000, 1
0.367421590000000, 0
0.367728760000000, 1
0.368940410000000, 0
0.369247580000000, 1
0.370318470000000, 0
0.370629870000000, 1
0.373223720000000, 0
0.373530900000000, 1
0.386431340000000, 0
0.386738540000000, 1
0.387532020000000, 0
0.387839170000000, 1
0.389187250000000, 0
0.389498720000000, 1
0.391260600000000, 0
0.391572050000000, 1
0.392228970000000, 0
0.392536210000000, 1
0.393193230000000, 0
0.393500440000000, 1
0.394434680000000, 0
0.394720490000000, 1
0.395398800000000, 0
0.395710270000000, 1
0.396363010000000, 0
0.396648910000000, 1
0.478474350000000, 0
0.478781550000000, 1
0.479574920000000, 0
0.479886340000000, 1
0.481511710000000, 0
0.481818950000000, 1
0.482475930000000, 0
0.482787360000000, 1
0.485517700000000, 0
0.485829140000000, 1
0.487036470000000, 0
0.487347960000000, 1
0.488559660000000, 0
0.488866870000000, 1
0.489937650000000, 0
0.490249140000000, 1
0.492843110000000, 0
0.493150290000000, 1
0.506046490000000, 0
0.506332300000000, 1
0.507147130000000, 0
0.507458500000000, 1
0.508806580000000, 0
0.509118040000000, 1
0.510879960000000, 0
0.511165840000000, 1
0.511844090000000, 0
0.512155550000000, 1
0.512812450000000, 0
0.513119620000000, 1
0.514053900000000, 0
0.514361060000000, 1
0.515018040000000, 0
0.515303880000000, 1
0.515982210000000, 0
0.516289400000000, 1
